Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,Ballots Rejected
2015-05-07,"Camberwell and Peckham",E14000615,http://statistics.data.gov.uk/doc/statistical-geography/E14000615,The Whig Party,PP2380,
2015-05-07,"Camberwell and Peckham",E14000615,http://statistics.data.gov.uk/doc/statistical-geography/E14000615,National Health Action Party,PP1931,
2015-05-07,"Camberwell and Peckham",E14000615,http://statistics.data.gov.uk/doc/statistical-geography/E14000615,All People's Party,PP2137,
2015-05-07,"Camberwell and Peckham",E14000615,http://statistics.data.gov.uk/doc/statistical-geography/E14000615,Labour Party,PP53,
2015-05-07,"Camberwell and Peckham",E14000615,http://statistics.data.gov.uk/doc/statistical-geography/E14000615,Liberal Democrats,PP90,
2015-05-07,"Camberwell and Peckham",E14000615,http://statistics.data.gov.uk/doc/statistical-geography/E14000615,UK Independence Party (UKIP),PP85,
2015-05-07,"Camberwell and Peckham",E14000615,http://statistics.data.gov.uk/doc/statistical-geography/E14000615,Conservative Party,PP52,
2015-05-07,"Camberwell and Peckham",E14000615,http://statistics.data.gov.uk/doc/statistical-geography/E14000615,Workers Revolutionary Party,PP184,
2015-05-07,"Camberwell and Peckham",E14000615,http://statistics.data.gov.uk/doc/statistical-geography/E14000615,Cannabis is Safer than Alcohol,PP2552,
2015-05-07,"Camberwell and Peckham",E14000615,http://statistics.data.gov.uk/doc/statistical-geography/E14000615,Green Party,PP63,
2015-05-07,"Camberwell and Peckham",E14000615,http://statistics.data.gov.uk/doc/statistical-geography/E14000615,Left Unity - Trade Unionists and Socialists,,
