Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,Wessex Regionalists,PP95
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,Conservative Party,PP52
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,Labour Party,PP53
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,Liberal Democrats,PP90
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,Independent,
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,Land Party,PP794
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,Green Party,PP63
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,National Health Action Party,PP1931
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,Reduce VAT in Sport,PP2628
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,Give Me Back Elmo,PP2641
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,UK Independence Party (UKIP),PP85
2015-05-07,"Witney",E14001046,http://statistics.data.gov.uk/doc/statistical-geography/E14001046,Independent,
